iter	Passed	Remaining
829	4174	855
830	4179	850
831	4184	844
832	4188	839
833	4193	834
834	4197	829
835	4201	824
836	4205	819
837	4210	813
838	4214	808
839	4219	803
840	4223	798
841	4227	793
842	4231	788
843	4236	783
844	4241	777
845	4247	773
846	4251	768
847	4256	762
848	4260	757
849	4264	752
850	4270	747
851	4274	742
852	4279	737
853	4283	732
854	4288	727
855	4293	722
856	4299	717
857	4305	712
858	4310	707
859	4316	702
860	4322	697
861	4329	693
862	4335	688
863	4341	683
864	4347	678
865	4352	673
866	4358	668
867	4364	663
868	4369	658
869	4376	653
870	4381	648
871	4388	644
872	4394	639
873	4401	634
874	4407	629
875	4413	624
876	4419	619
877	4423	614
878	4429	609
879	4435	604
880	4441	599
881	4447	594
882	4453	590
883	4459	585
884	4464	580
885	4471	575
886	4477	570
887	4482	565
888	4488	560
889	4494	555
890	4498	550
891	4502	545
892	4507	540
893	4512	535
894	4516	529
895	4521	524
896	4527	519
897	4532	514
898	4536	509
899	4541	504
900	4545	499
901	4549	494
902	4554	489
903	4558	484
904	4562	478
905	4567	473
906	4572	468
907	4576	463
908	4581	458
909	4586	453
910	4590	448
911	4596	443
912	4601	438
913	4606	433
914	4611	428
915	4617	423
916	4623	418
917	4629	413
918	4633	408
919	4637	403
920	4642	398
921	4647	393
922	4651	388
923	4656	383
924	4662	378
925	4667	373
926	4672	367
927	4676	362
928	4681	357
929	4685	352
930	4689	347
931	4694	342
932	4699	337
933	4704	332
934	4708	327
935	4712	322
936	4717	317
937	4721	312
938	4726	307
939	4730	301
940	4734	296
941	4738	291
942	4743	286
943	4748	281
944	4753	276
945	4759	271
946	4766	266
947	4772	261
948	4778	256
949	4784	251
950	4789	246
951	4794	241
952	4800	236
953	4806	231
954	4813	226
955	4819	221
956	4827	216
957	4834	211
958	4842	207
959	4847	201
960	4854	197
961	4862	192
962	4869	187
963	4875	182
964	4885	177
965	4893	172
966	4901	167
967	4910	162
968	4918	157
969	4924	152
970	4932	147
971	4938	142
972	4945	137
973	4951	132
974	4957	127
975	4965	122
976	4972	117
977	4979	112
978	4984	106
979	4989	101
980	4995	96
981	5001	91
982	5008	86
983	5013	81
984	5020	76
985	5025	71
986	5030	66
987	5036	61
988	5041	56
989	5047	50
990	5053	45
991	5059	40
992	5066	35
993	5074	30
994	5081	25
995	5095	20
996	5104	15
997	5109	10
998	5114	5
999	5119	0
